datahora,Q
1931-10-12 07:00:00,527.00
1931-10-13 07:00:00,582.00
1931-10-14 07:00:00,654.60
1931-10-15 07:00:00,684.20
1931-10-16 07:00:00,699.40
1931-10-17 07:00:00,707.00
1931-10-18 07:00:00,699.40
1931-10-19 07:00:00,676.60
1931-10-20 07:00:00,633.00
1931-10-21 07:00:00,603.40
1931-10-22 07:00:00,568.00
1931-10-23 07:00:00,537.20
1931-10-24 07:00:00,513.40
1931-10-25 07:00:00,473.20
1931-10-26 07:00:00,434.40
1931-10-27 07:00:00,414.40
1931-10-28 07:00:00,394.00
1931-10-29 07:00:00,387.00
1931-10-30 07:00:00,373.00
1931-10-31 07:00:00,327.00
1931-11-01 07:00:00,311.50
1931-11-02 07:00:00,302.20
1931-11-03 07:00:00,308.40
1931-11-04 07:00:00,299.10
1931-11-05 07:00:00,292.80
1931-11-06 07:00:00,292.80
1931-11-07 07:00:00,289.60
1931-11-08 07:00:00,292.80
1931-11-09 07:00:00,308.40
1931-11-10 07:00:00,327.00
1931-11-11 07:00:00,339.80
1931-11-12 07:00:00,362.50
1931-11-13 07:00:00,369.50
1931-11-14 07:00:00,359.00
1931-11-15 07:00:00,366.00
1931-11-16 07:00:00,359.00
1931-11-17 07:00:00,349.40
1931-11-18 07:00:00,317.70
1931-11-19 07:00:00,292.80
1931-11-20 07:00:00,273.60
1931-11-21 07:00:00,254.70
1931-11-22 07:00:00,257.80
1931-11-23 07:00:00,233.00
1931-11-24 07:00:00,236.10
1931-11-25 07:00:00,254.70
1931-11-26 07:00:00,311.50
1931-11-27 07:00:00,336.60
1931-11-28 07:00:00,339.80
1931-11-29 07:00:00,333.40
1931-11-30 07:00:00,327.00
1931-12-01 07:00:00,311.50
1931-12-02 07:00:00,296.00
1931-12-03 07:00:00,302.20
1931-12-04 07:00:00,330.20
1931-12-05 07:00:00,407.60
1931-12-06 07:00:00,523.60
1931-12-07 07:00:00,599.70
1931-12-08 07:00:00,669.00
1931-12-09 07:00:00,703.20
1931-12-10 07:00:00,714.60
1931-12-11 07:00:00,722.20
